date,total_value,cash,positions
2024-05-20,142245.79358045437,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-05-21,145431.1437516052,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-05-22,145032.97498021135,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-05-23,147222.90322287753,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-05-24,140354.49191633356,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-05-27,145729.77033015058,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-05-28,147421.98760857448,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-05-29,146924.27664433213,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-05-30,144634.8062088175,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-05-31,144137.09524457518,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-06-03,146725.19225863522,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-06-04,145630.22813730213,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-06-05,147023.81883718062,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-06-06,152996.35040808842,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-06-07,154091.31452942154,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-06-11,155883.07400069386,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-06-12,160163.3882931778,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-06-13,161457.43680020783,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-06-14,164941.41354990404,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-06-17,170117.60757802415,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-06-18,172008.90924214496,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-06-19,166733.1730211764,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-06-20,173103.87336347805,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-06-21,167629.05275681254,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-06-24,166733.1730211764,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-06-25,161158.81022166242,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-06-26,169420.8122280849,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-06-27,167429.96837111562,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-06-28,170416.23415656952,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-07-01,170913.94512081187,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-07-02,169022.64345669103,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-07-03,166534.08863547945,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-07-04,165240.04012844941,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-07-05,165240.04012844941,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-07-08,169321.27003523643,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-07-09,172705.7045920842,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-07-10,172008.90924214496,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-07-11,176090.13914893195,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-07-12,164739.65569439024,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-07-15,166946.69414388447,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-07-16,176247.78475246727,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-07-17,184760.64734337354,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-07-18,184918.29294690886,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
